[2025-09-12 21:31:32] BLOCKED (Port): 104.46.162.226:443 -> 192.168.43.197:63620
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63672
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 216.24.57.7:443 -> 192.168.43.197:63679
[2025-09-12 21:33:23] BLOCKED (Port): 216.24.57.7:443 -> 192.168.43.197:63679
[2025-09-12 21:33:23] BLOCKED (Port): 216.24.57.7:443 -> 192.168.43.197:63679
[2025-09-12 21:33:23] BLOCKED (Port): 216.24.57.7:443 -> 192.168.43.197:63679
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] ALLOWED (Loopback): 127.0.0.1:49692 -> 127.0.0.1:6850
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 192.168.43.197:63676 -> 20.189.173.16:443
[2025-09-12 21:33:23] BLOCKED (Port): 192.168.43.197:63679 -> 216.24.57.7:443
[2025-09-12 21:33:23] BLOCKED (Port): 192.168.43.197:63672 -> 20.189.173.16:443
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 216.24.57.7:443 -> 192.168.43.197:63679
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:23] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63676
[2025-09-12 21:33:23] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63672
[2025-09-12 21:33:23] BLOCKED (Port): 216.24.57.7:443 -> 192.168.43.197:63679
[2025-09-12 21:33:23] BLOCKED (Port): 192.168.43.197:63680 -> 20.189.173.16:443
[2025-09-12 21:33:23] ALLOWED (Loopback): 127.0.0.1:49692 -> 127.0.0.1:6850
[2025-09-12 21:33:23] BLOCKED (Port): 192.168.43.197:63679 -> 216.24.57.7:443
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:24] BLOCKED (Port): 192.168.43.197:63681 -> 34.149.202.126:443
[2025-09-12 21:33:24] BLOCKED (Port): 192.168.43.197:63672 -> 20.189.173.16:443
[2025-09-12 21:33:24] BLOCKED (Port): 23.45.207.78:443 -> 192.168.43.197:63661
[2025-09-12 21:33:24] BLOCKED (Port): 23.45.207.78:443 -> 192.168.43.197:63661
[2025-09-12 21:33:24] BLOCKED (Port): 23.45.207.78:443 -> 192.168.43.197:63661
[2025-09-12 21:33:24] BLOCKED (Port): 192.168.43.197:63676 -> 20.189.173.16:443
[2025-09-12 21:33:24] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:24] BLOCKED (Port): 23.45.207.78:443 -> 192.168.43.197:63661
[2025-09-12 21:33:24] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63672
[2025-09-12 21:33:24] BLOCKED (Port): 216.24.57.7:443 -> 192.168.43.197:63679
[2025-09-12 21:33:24] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:24] BLOCKED (Port): 192.168.43.197:63668 -> 216.24.57.7:443
[2025-09-12 21:33:24] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63676
[2025-09-12 21:33:24] BLOCKED (Port): 192.168.43.197:63672 -> 20.189.173.16:443
[2025-09-12 21:33:24] BLOCKED (Port): 192.168.43.197:63679 -> 216.24.57.7:443
[2025-09-12 21:33:24] BLOCKED (Port): 192.168.43.197:63680 -> 20.189.173.16:443
[2025-09-12 21:33:24] ALLOWED (Loopback): 127.0.0.1:49692 -> 127.0.0.1:6850
[2025-09-12 21:33:25] BLOCKED (Port): 192.168.43.197:63669 -> 104.18.43.158:443
[2025-09-12 21:33:25] ALLOWED (Loopback): 127.0.0.1:49692 -> 127.0.0.1:6850
[2025-09-12 21:33:25] BLOCKED (Port): 192.168.43.197:63668 -> 216.24.57.7:443
[2025-09-12 21:33:25] BLOCKED (Port): 192.168.43.197:63681 -> 34.149.202.126:443
[2025-09-12 21:33:25] BLOCKED (Port): 23.45.207.78:443 -> 192.168.43.197:63661
[2025-09-12 21:33:25] BLOCKED (Port): 192.168.43.197:63669 -> 104.18.43.158:443
[2025-09-12 21:33:25] BLOCKED (Port): 192.168.43.197:63672 -> 20.189.173.16:443
[2025-09-12 21:33:25] BLOCKED (Port): 192.168.43.197:63673 -> 216.24.57.7:443
[2025-09-12 21:33:25] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:25] BLOCKED (Port): 192.168.43.197:63668 -> 216.24.57.7:443
[2025-09-12 21:33:25] BLOCKED (Port): 192.168.43.197:63674 -> 216.24.57.7:443
[2025-09-12 21:33:25] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:26] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63672
[2025-09-12 21:33:26] BLOCKED (Port): 216.24.57.7:443 -> 192.168.43.197:63679
[2025-09-12 21:33:26] BLOCKED (Port): 192.168.43.197:63676 -> 20.189.173.16:443
[2025-09-12 21:33:26] BLOCKED (Port): 192.168.43.197:63669 -> 104.18.43.158:443
[2025-09-12 21:33:26] BLOCKED (Port): 192.168.43.197:63674 -> 216.24.57.7:443
[2025-09-12 21:33:26] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63676
[2025-09-12 21:33:26] BLOCKED (Port): 23.45.207.78:443 -> 192.168.43.197:63661
[2025-09-12 21:33:26] BLOCKED (Port): 192.168.43.197:63673 -> 216.24.57.7:443
[2025-09-12 21:33:26] BLOCKED (Port): 192.168.43.197:63679 -> 216.24.57.7:443
[2025-09-12 21:33:26] BLOCKED (Port): 192.168.43.197:63677 -> 216.24.57.7:443
[2025-09-12 21:33:26] BLOCKED (Port): 192.168.43.197:63680 -> 20.189.173.16:443
[2025-09-12 21:33:27] BLOCKED (Port): 192.168.43.197:63681 -> 34.149.202.126:443
[2025-09-12 21:33:27] BLOCKED (Port): 192.168.43.197:63677 -> 216.24.57.7:443
[2025-09-12 21:33:27] BLOCKED (Port): 192.168.43.197:63674 -> 216.24.57.7:443
[2025-09-12 21:33:27] ALLOWED (Loopback): 127.0.0.1:49692 -> 127.0.0.1:6850
[2025-09-12 21:33:27] BLOCKED (Port): 192.168.43.197:63668 -> 216.24.57.7:443
[2025-09-12 21:33:27] BLOCKED (Port): 192.168.43.197:63669 -> 104.18.43.158:443
[2025-09-12 21:33:27] BLOCKED (Port): 192.168.43.197:63673 -> 216.24.57.7:443
[2025-09-12 21:33:27] BLOCKED (Port): 192.168.43.197:63574 -> 216.24.57.7:443
[2025-09-12 21:33:27] BLOCKED (Port): 192.168.43.197:63677 -> 216.24.57.7:443
[2025-09-12 21:33:28] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:28] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:28] BLOCKED (Port): 192.168.43.197:63672 -> 20.189.173.16:443
[2025-09-12 21:33:28] BLOCKED (Port): 192.168.43.197:63574 -> 216.24.57.7:443
[2025-09-12 21:33:29] BLOCKED (Port): 23.45.207.78:443 -> 192.168.43.197:63661
[2025-09-12 21:33:29] BLOCKED (Port): 192.168.43.197:63674 -> 216.24.57.7:443
[2025-09-12 21:33:29] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63672
[2025-09-12 21:33:29] BLOCKED (Port): 216.24.57.7:443 -> 192.168.43.197:63679
[2025-09-12 21:33:29] BLOCKED (Port): 192.168.43.197:63677 -> 216.24.57.7:443
[2025-09-12 21:33:29] BLOCKED (Port): 192.168.43.197:63574 -> 216.24.57.7:443
[2025-09-12 21:33:29] BLOCKED (Port): 192.168.43.197:63676 -> 20.189.173.16:443
[2025-09-12 21:33:30] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63676
[2025-09-12 21:33:30] BLOCKED (Port): 192.168.43.197:63673 -> 216.24.57.7:443
[2025-09-12 21:33:30] BLOCKED (Port): 192.168.43.197:63679 -> 216.24.57.7:443
[2025-09-12 21:33:30] BLOCKED (Port): 192.168.43.197:63669 -> 104.18.43.158:443
[2025-09-12 21:33:30] BLOCKED (Port): 192.168.43.197:63668 -> 216.24.57.7:443
[2025-09-12 21:33:30] BLOCKED (Port): 192.168.43.197:63574 -> 216.24.57.7:443
[2025-09-12 21:33:30] BLOCKED (Port): 192.168.43.197:63680 -> 20.189.173.16:443
[2025-09-12 21:33:31] BLOCKED (Port): 140.82.114.22:443 -> 192.168.43.197:63604
[2025-09-12 21:33:31] BLOCKED (Port): 192.168.43.197:63681 -> 34.149.202.126:443
[2025-09-12 21:33:31] BLOCKED (Port): 192.168.43.197:63574 -> 216.24.57.7:443
[2025-09-12 21:33:32] BLOCKED (Port): 140.82.114.22:443 -> 192.168.43.197:63604
[2025-09-12 21:33:32] BLOCKED (Port): 192.168.43.197:63670 -> 20.250.119.64:443
[2025-09-12 21:33:32] BLOCKED (Port): 192.168.43.197:63670 -> 20.250.119.64:443
[2025-09-12 21:33:32] BLOCKED (Port): 192.168.43.197:63670 -> 20.250.119.64:443
[2025-09-12 21:33:32] ALLOWED (Loopback): 127.0.0.1:49692 -> 127.0.0.1:6850
[2025-09-12 21:33:32] ALLOWED (Loopback): 127.0.0.1:49720 -> 127.0.0.1:1042
[2025-09-12 21:33:32] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63672
[2025-09-12 21:33:32] BLOCKED (Port): 192.168.43.197:63677 -> 216.24.57.7:443
[2025-09-12 21:33:32] ALLOWED (Loopback): 127.0.0.1:49720 -> 127.0.0.1:1042
[2025-09-12 21:33:32] BLOCKED (Port): 192.168.43.197:63574 -> 216.24.57.7:443
[2025-09-12 21:33:32] BLOCKED (Port): 192.168.43.197:63670 -> 20.250.119.64:443
[2025-09-12 21:33:33] BLOCKED (Port): 192.168.43.197:63674 -> 216.24.57.7:443
[2025-09-12 21:33:33] BLOCKED (Port): 140.82.114.22:443 -> 192.168.43.197:63604
[2025-09-12 21:33:33] BLOCKED (Port): 192.168.43.197:63679 -> 216.24.57.7:443
[2025-09-12 21:33:33] ALLOWED (Loopback): 127.0.0.1:49720 -> 127.0.0.1:1042
[2025-09-12 21:33:33] BLOCKED (Port): 192.168.43.197:63670 -> 20.250.119.64:443
[2025-09-12 21:33:33] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63676
[2025-09-12 21:33:33] BLOCKED (Port): 192.168.43.197:63574 -> 216.24.57.7:443
[2025-09-12 21:33:34] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:34] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:34] BLOCKED (Port): 23.45.207.78:443 -> 192.168.43.197:63661
[2025-09-12 21:33:34] BLOCKED (Port): 192.168.43.197:63670 -> 20.250.119.64:443
[2025-09-12 21:33:34] ALLOWED (Loopback): 127.0.0.1:49720 -> 127.0.0.1:1042
[2025-09-12 21:33:34] ALLOWED: 192.168.43.197:61083 -> 192.168.43.1:53
[2025-09-12 21:33:34] ALLOWED: 192.168.43.197:60742 -> 192.168.43.1:53
[2025-09-12 21:33:34] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:61083
[2025-09-12 21:33:34] BLOCKED (Port): 192.168.43.197:63672 -> 20.189.173.16:443
[2025-09-12 21:33:34] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:60742
[2025-09-12 21:33:34] BLOCKED (Port): 192.168.43.197:56909 -> 142.250.206.35:443
[2025-09-12 21:33:34] BLOCKED (Port): 192.168.43.197:63574 -> 216.24.57.7:443
[2025-09-12 21:33:34] BLOCKED (Port): 192.168.43.197:63673 -> 216.24.57.7:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:56959 -> 142.250.206.35:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:35] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63672
[2025-09-12 21:33:35] BLOCKED (Port): 140.82.114.22:443 -> 192.168.43.197:63604
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:56909 -> 142.250.206.35:443
[2025-09-12 21:33:35] BLOCKED (Port): 216.24.57.7:443 -> 192.168.43.197:63679
[2025-09-12 21:33:35] BLOCKED (Port): 192.168.43.197:63574 -> 216.24.57.7:443
[2025-09-12 21:33:36] BLOCKED (Port): 192.168.43.197:56959 -> 142.250.206.35:443
[2025-09-12 21:33:36] BLOCKED (Port): 140.82.114.22:443 -> 192.168.43.197:63604
[2025-09-12 21:33:36] ALLOWED (Loopback): 127.0.0.1:49684 -> 127.0.0.1:50100
[2025-09-12 21:33:36] BLOCKED (Port): 192.168.43.197:63627 -> 140.82.114.22:443
[2025-09-12 21:33:36] ALLOWED (Loopback): 127.0.0.1:50100 -> 127.0.0.1:49684
[2025-09-12 21:33:36] ALLOWED: 192.168.43.197:56858 -> 192.168.43.1:53
[2025-09-12 21:33:36] ALLOWED: 192.168.43.197:50357 -> 192.168.43.1:53
[2025-09-12 21:33:36] BLOCKED (Port): 192.168.43.197:63669 -> 104.18.43.158:443
[2025-09-12 21:33:36] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:56858
[2025-09-12 21:33:36] ALLOWED: 192.168.43.197:60692 -> 192.168.43.1:53
[2025-09-12 21:33:36] ALLOWED: 192.168.43.197:55761 -> 192.168.43.1:53
[2025-09-12 21:33:36] ALLOWED (Loopback): 127.0.0.1:49684 -> 127.0.0.1:50100
[2025-09-12 21:33:36] ALLOWED: 192.168.43.197:53747 -> 192.168.43.1:53
[2025-09-12 21:33:36] ALLOWED: 192.168.43.197:52234 -> 192.168.43.1:53
[2025-09-12 21:33:36] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:50357
[2025-09-12 21:33:36] ALLOWED (Loopback): 127.0.0.1:50100 -> 127.0.0.1:49684
[2025-09-12 21:33:36] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:60692
[2025-09-12 21:33:36] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:55761
[2025-09-12 21:33:36] BLOCKED (Port): 192.168.43.197:56677 -> 142.251.222.138:443
[2025-09-12 21:33:36] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:53747
[2025-09-12 21:33:36] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:52234
[2025-09-12 21:33:36] BLOCKED (Port): 192.168.43.197:63670 -> 20.250.119.64:443
[2025-09-12 21:33:36] BLOCKED (Port): 192.168.43.197:61092 -> 172.217.194.84:443
[2025-09-12 21:33:36] ALLOWED: 192.168.43.197:65521 -> 192.168.43.1:53
[2025-09-12 21:33:36] BLOCKED (Port): 192.168.43.197:63574 -> 216.24.57.7:443
[2025-09-12 21:33:36] ALLOWED: 192.168.43.197:54361 -> 192.168.43.1:53
[2025-09-12 21:33:36] ALLOWED: 192.168.43.197:56749 -> 192.168.43.1:53
[2025-09-12 21:33:36] ALLOWED: 192.168.43.197:51506 -> 192.168.43.1:53
[2025-09-12 21:33:36] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:65521
[2025-09-12 21:33:36] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:54361
[2025-09-12 21:33:36] BLOCKED (Port): 192.168.43.197:65163 -> 23.45.207.204:443
[2025-09-12 21:33:36] BLOCKED (Port): 192.168.43.197:65163 -> 23.45.207.204:443
[2025-09-12 21:33:37] ALLOWED (Loopback): 127.0.0.1:49720 -> 127.0.0.1:1042
[2025-09-12 21:33:37] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:56749
[2025-09-12 21:33:37] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:51506
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:53316 -> 142.250.77.132:443
[2025-09-12 21:33:37] ALLOWED: 192.168.43.197:53050 -> 192.168.43.1:53
[2025-09-12 21:33:37] ALLOWED: 192.168.43.197:52625 -> 192.168.43.1:53
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:59420 -> 142.250.77.132:443
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:62966 -> 172.217.194.84:443
[2025-09-12 21:33:37] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:52625
[2025-09-12 21:33:37] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:53050
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:56272 -> 34.120.195.249:443
[2025-09-12 21:33:37] ALLOWED: 192.168.43.197:55992 -> 192.168.43.1:53
[2025-09-12 21:33:37] ALLOWED: 192.168.43.197:56621 -> 192.168.43.1:53
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:51908 -> 142.250.77.132:443
[2025-09-12 21:33:37] ALLOWED: 192.168.43.197:55741 -> 192.168.43.1:53
[2025-09-12 21:33:37] ALLOWED: 192.168.43.197:50803 -> 192.168.43.1:53
[2025-09-12 21:33:37] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:55992
[2025-09-12 21:33:37] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:55741
[2025-09-12 21:33:37] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:56621
[2025-09-12 21:33:37] ALLOWED: 192.168.43.1:53 -> 192.168.43.197:50803
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:50146 -> 18.66.41.123:443
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:50357 -> 18.239.153.57:443
[2025-09-12 21:33:37] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63676
[2025-09-12 21:33:37] ALLOWED (Loopback): 127.0.0.1:49684 -> 127.0.0.1:50100
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:51278 -> 142.250.77.132:443
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:63668 -> 216.24.57.7:443
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:50240 -> 142.250.77.132:443
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:64760 -> 34.120.195.249:443
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:63676 -> 20.189.173.16:443
[2025-09-12 21:33:37] ALLOWED (Loopback): 127.0.0.1:50100 -> 127.0.0.1:49684
[2025-09-12 21:33:37] ALLOWED: 192.168.43.197:60589 -> 192.168.43.1:53
[2025-09-12 21:33:37] ALLOWED: 192.168.43.197:61694 -> 192.168.43.1:53
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:62466 -> 142.250.77.132:443
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:56894 -> 34.120.195.249:443
[2025-09-12 21:33:37] BLOCKED (Port): 192.168.43.197:59501 -> 34.120.195.249:443
